Date,Revenue,EBIT,Net Income,Total Debt,Net Debt,Share Issued,Equity,Free Cash Flow,Ticker,Price,Sector,Industry,Market Cap,Enterprice Value,PER,EV/EBIT,EV/FCF,Net Profit Margin,ROIC
2021-12-31,38655000.0,11039000.0,9771000.0,42761000.0,33077000.0,7040128.92,22999000.0,11258000.0,KO,54.46,Consumer Defensive,Beverages - Non-Alcoholic,383405420.9832,416482420.9832,39.23911789818852,37.72827438927439,36.994352547806,0.2527745440434614,0.19685783579427918
2023-12-29,91471000.0,12913000.0,9074000.0,44661000.0,34394000.0,1867000.0,18503000.0,7924000.0,PEP,166.74,Consumer Defensive,Beverages - Non-Alcoholic,311303580.0,345697580.0,34.30720520167512,26.77128320297375,43.626650681474004,0.09920083961036831,0.24411592339830235
2022-12-30,86392000.0,11357000.0,8910000.0,39554000.0,34117000.0,1867000.0,17149000.0,5604000.0,PEP,173.61,Consumer Defensive,Beverages - Non-Alcoholic,324129870.0,358246870.0,36.37821212121212,31.544146341463414,63.926993219129194,0.10313454949532364,0.22153083915265478
2021-12-31,79474000.0,11162000.0,7618000.0,40780000.0,34738000.0,1867000.0,16043000.0,6991000.0,PEP,160.77,Consumer Defensive,Beverages - Non-Alcoholic,300157590.0,334895590.0,39.401101338934104,30.003188496685183,47.903817765698754,0.09585524825729169,0.21980662058643982
2024-01-31,648125000.0,27012000.0,15511000.0,61321000.0,30590000.0,8054000.0,83861000.0,15120000.0,WMT,55.55,Consumer Defensive,Discount Stores,447399700.0,477989700.0,28.84402681967636,17.69545757441137,31.613075396825398,0.023932111861137896,0.2360136652366515
2023-01-31,611289000.0,20428000.0,11680000.0,58923000.0,30587000.0,8100000.0,76693000.0,11984000.0,WMT,46.41,Consumer Defensive,Discount Stores,375921000.0,406508000.0,32.18501712328767,19.899549637752106,33.920894526034715,0.01910716535059522,0.19041759880686054
2022-01-31,572754000.0,25942000.0,13673000.0,57323000.0,23317000.0,8283000.0,83253000.0,11075000.0,WMT,44.01,Consumer Defensive,Discount Stores,364534830.0,387851830.0,26.660925181013678,14.950729704725926,35.020481264108355,0.0238723780191845,0.24342685558787652
2021-01-29,559151000.0,22548000.0,13510000.0,63246000.0,26792000.0,8463000.0,80925000.0,25810000.0,WMT,45.25,Consumer Defensive,Discount Stores,382950750.0,409742750.0,28.345725388601036,18.172021908816745,15.875348702053468,0.024161630758059986,0.20932629018632157
2023-08-31,242290000.0,8114000.0,6292000.0,8884000.0,0.0,442793.0,25058000.0,6745000.0,COST,525.41,Consumer Defensive,Discount Stores,232647870.13,241531870.13,36.97518597107438,29.76729974488538,35.8090244818384,0.025968880267448098,0.2390548582876672
2022-08-31,226954000.0,7793000.0,5844000.0,9039000.0,0.0,442664.0,20642000.0,3501000.0,COST,507.51,Consumer Defensive,Discount Stores,224656406.64,233695406.64,38.442232484599586,29.987861752855125,66.75104445586975,0.025749711395260715,0.26255853913277855
