Date,Price,Ticker
2024-04-09,714.08,COST
2024-04-10,708.85,COST
2024-04-11,729.29,COST
2024-04-12,725.8,COST
2024-04-15,733.21,COST
2024-04-16,716.13,COST
2024-04-17,720.82,COST
2024-04-18,713.03,COST
2024-04-19,710.88,COST
2024-04-22,712.7,COST
2024-04-23,716.86,COST
2024-04-24,717.54,COST
2024-04-25,726.26,COST
2024-04-26,713.98,COST
2024-04-29,728.49,COST
2024-04-30,724.48,COST
2024-05-01,721.24,COST
2024-05-02,723.72,COST
2024-05-03,733.24,COST
2024-05-06,748.52,COST
2024-05-07,757.61,COST
2024-05-08,768.91,COST
2024-05-09,762.71,COST
2024-05-10,777.93,COST
2024-05-13,786.88,COST
2024-05-14,773.83,COST
2024-05-15,777.41,COST
2024-05-16,790.68,COST
2024-05-17,792.48,COST
2024-05-20,794.12,COST
2024-05-21,794.44,COST
2024-05-22,798.9,COST
2024-05-23,803.16,COST
2024-05-24,799.49,COST
2024-05-28,808.59,COST
2024-05-29,805.87,COST
2024-05-30,809.05,COST
2024-05-31,807.88,COST
2024-06-03,809.85,COST
2024-06-04,813.82,COST
2024-06-05,829.73,COST
2024-06-06,834.23,COST
2024-06-07,845.48,COST
2024-06-10,845.98,COST
2024-06-11,848.03,COST
2024-06-12,851.1,COST
2024-06-13,846.6,COST
2024-06-14,842.22,COST
2024-06-17,853.28,COST
2024-06-18,866.77,COST
2024-06-20,870.07,COST
2024-06-21,865.41,COST
2024-06-24,848.79,COST
2024-06-25,848.11,COST
2024-06-26,851.51,COST
2024-06-27,856.49,COST
2024-06-28,850.04,COST
2024-07-01,852.29,COST
2024-07-02,844.49,COST
2024-07-03,853.78,COST
2024-07-05,863.33,COST
2024-07-08,885.53,COST
2024-07-09,882.59,COST
2024-07-10,886.14,COST
2024-07-11,889.49,COST
2024-07-12,848.68,COST
2024-07-15,845.66,COST
2024-07-16,846.59,COST
2024-07-17,846.8,COST
2024-07-18,848.22,COST
2024-07-19,835.32,COST
2024-07-22,844.55,COST
2024-07-23,847.69,COST
2024-07-24,843.4,COST
2024-07-25,834.6,COST
2024-07-26,818.0,COST
2024-07-29,822.56,COST
2024-07-30,818.0,COST
2024-07-31,820.42,COST
2024-08-01,818.55,COST
2024-08-02,816.2,COST
2024-08-05,798.0,COST
2024-08-06,805.06,COST
2024-08-07,824.11,COST
2024-08-08,821.5,COST
2024-08-09,838.5,COST
2024-08-12,857.25,COST
2024-08-13,864.92,COST
2024-08-14,864.87,COST
2024-08-15,872.87,COST
2024-08-16,877.35,COST
2020-09-30,144.65,TGT
2020-10-01,145.53,TGT
2020-10-02,144.21,TGT
2020-10-05,146.98,TGT
2020-10-06,148.34,TGT
2020-10-07,147.05,TGT
2020-10-08,149.38,TGT
2020-10-09,149.02,TGT
2020-10-12,150.94,TGT
2020-10-13,151.19,TGT
2020-10-14,152.49,TGT
2020-10-15,148.68,TGT
2020-10-16,152.42,TGT
2020-10-19,152.7,TGT
2020-10-20,151.54,TGT
2020-10-21,152.28,TGT
2020-10-22,149.81,TGT
2020-10-23,147.35,TGT
2020-10-26,145.93,TGT
2020-10-27,145.22,TGT
2020-10-28,142.32,TGT
2020-10-29,142.62,TGT
2020-10-30,140.86,TGT
2020-11-02,141.48,TGT
2020-11-03,143.61,TGT
2020-11-04,144.44,TGT
2020-11-05,146.76,TGT
2020-11-06,145.75,TGT
2020-11-09,149.89,TGT
2020-11-10,144.27,TGT
2020-11-11,146.49,TGT
2020-11-12,146.69,TGT
2020-11-13,147.9,TGT
2020-11-16,151.59,TGT
2020-11-17,151.29,TGT
2020-11-18,153.08,TGT
2020-11-19,155.64,TGT
2020-11-20,158.87,TGT
2020-11-23,160.75,TGT
2020-11-24,165.83,TGT
2020-11-25,163.96,TGT
2020-11-27,166.8,TGT
2020-11-30,164.44,TGT
2020-12-01,165.88,TGT
2020-12-02,164.23,TGT
2020-12-03,162.8,TGT
2020-12-04,160.87,TGT
2020-12-07,160.77,TGT
2020-12-08,159.13,TGT
2020-12-09,159.92,TGT
2020-12-10,160.14,TGT
2020-12-11,158.21,TGT
2020-12-14,159.56,TGT
2020-12-15,157.43,TGT
2020-12-16,158.68,TGT
2020-12-17,158.67,TGT
2020-12-18,157.92,TGT
2020-12-21,156.49,TGT
2020-12-22,159.04,TGT
2020-12-23,158.68,TGT
2020-12-24,162.34,TGT
2020-12-28,163.39,TGT
2020-12-29,163.39,TGT
2020-12-30,162.09,TGT
2020-12-31,160.9,TGT
2021-01-04,162.83,TGT
2021-01-05,163.1,TGT
2021-01-06,166.36,TGT
2021-01-07,174.55,TGT
2021-01-08,176.73,TGT
2021-01-11,178.08,TGT
2021-01-12,180.97,TGT
2021-01-13,183.14,TGT
2021-01-14,181.73,TGT
2021-01-15,182.33,TGT
2021-01-19,179.35,TGT
2021-01-20,173.89,TGT
2021-01-21,175.37,TGT
2021-01-22,176.11,TGT
2021-01-25,176.72,TGT
2021-01-26,175.38,TGT
2021-01-27,173.07,TGT
2021-01-28,164.14,TGT
2021-01-29,168.01,TGT
2021-02-01,168.06,TGT
2021-02-02,171.13,TGT
2021-02-03,170.84,TGT
2021-02-04,171.47,TGT
2021-02-05,174.81,TGT
2021-02-08,177.44,TGT
2021-02-09,179.09,TGT
2021-02-10,178.87,TGT
2021-02-11,177.16,TGT
2021-02-12,176.25,TGT
2021-02-16,176.96,TGT
2021-02-17,175.16,TGT
2021-02-18,174.3,TGT
2021-02-19,177.71,TGT
2021-02-22,174.16,TGT
2021-02-23,174.13,TGT
2021-02-24,172.22,TGT
2021-02-25,174.53,TGT
2021-02-26,172.34,TGT
2021-03-01,172.15,TGT
2021-03-02,174.06,TGT
2021-03-03,162.01,TGT
2021-03-04,159.58,TGT
2021-03-05,157.65,TGT
2021-03-08,162.26,TGT
2021-03-09,165.09,TGT
2021-03-10,166.62,TGT
2021-03-11,165.86,TGT
2021-03-12,166.55,TGT
2021-03-15,167.05,TGT
2021-03-16,166.61,TGT
2021-03-17,166.19,TGT
2021-03-18,164.09,TGT
2021-03-19,166.54,TGT
2021-03-22,173.22,TGT
2021-03-23,173.84,TGT
2021-03-24,174.89,TGT
2021-03-25,174.13,TGT
2021-03-26,179.88,TGT
2021-03-29,185.24,TGT
2021-03-30,183.38,TGT
2021-03-31,185.2,TGT
2021-04-01,183.44,TGT
2021-04-05,187.01,TGT
2021-04-06,189.23,TGT
2021-04-07,190.48,TGT
2021-04-08,189.19,TGT
2021-04-09,188.86,TGT
2021-04-12,190.05,TGT
2021-04-13,190.31,TGT
2021-04-14,189.12,TGT
2021-04-15,190.73,TGT
2021-04-16,190.71,TGT
2021-04-19,193.95,TGT
2021-04-20,193.41,TGT
2021-04-21,191.86,TGT
2021-04-22,191.9,TGT
2021-04-23,190.66,TGT
2021-04-26,190.58,TGT
2021-04-27,189.07,TGT
2021-04-28,188.8,TGT
2021-04-29,190.83,TGT
2021-04-30,190.91,TGT
2021-05-03,193.66,TGT
2021-05-04,194.06,TGT
2021-05-05,196.87,TGT
2021-05-06,197.81,TGT
2021-05-07,197.46,TGT
2021-05-10,199.52,TGT
2021-05-11,196.75,TGT
2021-05-12,192.53,TGT
2021-05-13,189.07,TGT
2021-05-14,194.61,TGT
2021-05-17,197.05,TGT
2021-05-18,196.17,TGT
2021-05-19,195.34,TGT
2021-05-20,202.74,TGT
2021-05-21,206.39,TGT
2021-05-24,210.23,TGT
2021-05-25,209.49,TGT
2021-05-26,210.07,TGT
2021-05-27,211.7,TGT
2021-05-28,211.77,TGT
2021-06-01,211.36,TGT
2021-06-02,210.29,TGT
2021-06-03,212.08,TGT
2021-06-04,213.81,TGT
2021-06-07,215.02,TGT
2021-06-08,217.59,TGT
2021-06-09,217.9,TGT
2021-06-10,215.17,TGT
2021-06-11,215.29,TGT
2021-06-14,216.56,TGT
2021-06-15,216.42,TGT
2021-06-16,216.13,TGT
2021-06-17,214.14,TGT
2021-06-18,213.5,TGT
2021-06-21,214.94,TGT
2021-06-22,217.8,TGT
2021-06-23,220.01,TGT
2021-06-24,222.39,TGT
2021-06-25,222.92,TGT
2021-06-28,223.75,TGT
2021-06-29,224.08,TGT
2021-06-30,224.58,TGT
2021-07-01,224.73,TGT
2021-07-02,227.09,TGT
2021-07-06,228.95,TGT
2021-07-07,228.12,TGT
2021-07-08,227.85,TGT
2021-07-09,230.98,TGT
2021-07-12,231.74,TGT
2021-07-13,232.67,TGT
2021-07-14,234.62,TGT
2021-07-15,235.64,TGT
2021-07-16,235.82,TGT
2021-07-19,232.0,TGT
2021-07-20,233.22,TGT
2021-07-21,237.08,TGT
2021-07-22,239.07,TGT
2021-07-23,239.43,TGT
2021-07-26,242.31,TGT
2021-07-27,241.49,TGT
2021-07-28,238.97,TGT
2021-07-29,239.81,TGT
2021-07-30,242.18,TGT
2021-08-02,243.42,TGT
2021-08-03,239.73,TGT
2021-08-04,242.6,TGT
2021-08-05,243.13,TGT
2021-08-06,243.28,TGT
2021-08-09,241.58,TGT
2021-08-10,244.25,TGT
2021-08-11,245.72,TGT
2021-08-12,245.16,TGT
2021-08-13,243.99,TGT
2021-08-16,241.57,TGT
2021-08-17,242.74,TGT
2021-08-18,232.06,TGT
2021-08-19,227.9,TGT
2021-08-20,229.89,TGT
2021-08-23,236.97,TGT
2021-08-24,236.26,TGT
2021-08-25,233.46,TGT
2021-08-26,233.4,TGT
2021-08-27,231.27,TGT
2021-08-30,232.26,TGT
2021-08-31,232.21,TGT
2021-09-01,230.2,TGT
2021-09-02,229.58,TGT
2021-09-03,228.42,TGT
2021-09-07,227.33,TGT
2021-09-08,226.22,TGT
2021-09-09,229.24,TGT
2021-09-10,230.4,TGT
2021-09-13,228.8,TGT
2021-09-14,226.84,TGT
2021-09-15,225.85,TGT
2021-09-16,228.55,TGT
2021-09-17,228.76,TGT
2021-09-20,226.92,TGT
2021-09-21,226.33,TGT
2021-09-22,225.89,TGT
2021-09-23,226.94,TGT
2021-09-24,224.92,TGT
2021-09-27,223.91,TGT
2021-09-28,220.79,TGT
2021-09-29,218.62,TGT
2021-09-30,219.84,TGT
2021-10-01,213.66,TGT
2021-10-04,212.43,TGT
2021-10-05,211.62,TGT
2021-10-06,210.77,TGT
2021-10-07,213.01,TGT
2021-10-08,214.41,TGT
2021-10-11,213.03,TGT
2021-10-12,214.36,TGT
2021-10-13,215.76,TGT
2021-10-14,222.56,TGT
2021-10-15,226.75,TGT
2021-10-18,228.29,TGT
2021-10-19,237.22,TGT
